source_index,source_lat,source_lon,source_current_pano_id,source_current_image_file,candidate_rank,historical_pano_id,historical_date,historical_lat,historical_lon,distance_to_source_m,heading,pitch,roll,search_status,error
7,50.10219392325581,14.39261631627907,IY9XNXHNYPd1Bp5YgMs-Tw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0007.jpg,2,wkbJRVSuiD2e-vZQ6NorlQ,2009-05,50.10221524489103,14.39260036742967,2.63,311.9626770019531,90.92585754394531,0.02223992347717285,ok,
8,50.102223483720934,14.392562718604651,atSg5Enm2blTtS403AZnMw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0008.jpg,0,tTKFeKSJr5CCWwCBWMuvpA,2014-05,50.1022557698039,14.39251403704839,4.994,308.8215026855469,89.18559265136719,359.6986999511719,ok,
8,50.102223483720934,14.392562718604651,atSg5Enm2blTtS403AZnMw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0008.jpg,1,jasN80li14afpidqdbwmag,2011-08,50.10226118261974,14.39251618809429,5.347,309.6900939941406,89.51181030273438,0.01863325387239456,ok,
8,50.102223483720934,14.392562718604651,atSg5Enm2blTtS403AZnMw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0008.jpg,2,SV6hSSJdHVFTsDgd2BqaAQ,2009-05,50.10227327766826,14.39249965946049,7.133,311.3687438964844,90.61083984375,0.4266628623008728,ok,
9,50.10225304418605,14.392509120930233,atSg5Enm2blTtS403AZnMw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0009.jpg,0,tTKFeKSJr5CCWwCBWMuvpA,2014-05,50.1022557698039,14.39251403704839,0.463,308.8215026855469,89.18559265136719,359.6986999511719,ok,
9,50.10225304418605,14.392509120930233,atSg5Enm2blTtS403AZnMw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0009.jpg,1,jasN80li14afpidqdbwmag,2011-08,50.10226118261974,14.39251618809429,1.036,309.6900939941406,89.51181030273438,0.01863325387239456,ok,
9,50.10225304418605,14.392509120930233,atSg5Enm2blTtS403AZnMw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0009.jpg,2,SV6hSSJdHVFTsDgd2BqaAQ,2009-05,50.10227327766826,14.39249965946049,2.349,311.3687438964844,90.61083984375,0.4266628623008728,ok,
10,50.102282604651165,14.392455523255814,7U3uE8VEagi2lsoc-Qgtgg,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0010.jpg,0,FXMA_sHF9T8lfjypGDAAmg,2014-05,50.10232378117554,14.3923939055276,6.346,311.2836608886719,89.88850402832031,359.9490051269531,ok,
10,50.102282604651165,14.392455523255814,7U3uE8VEagi2lsoc-Qgtgg,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0010.jpg,1,ftwzFbk2G24lpjy3nJCXQQ,2011-08,50.10232713488038,14.3923958782962,6.528,309.4984436035156,89.63296508789062,0.05210581049323082,ok,
10,50.102282604651165,14.392455523255814,7U3uE8VEagi2lsoc-Qgtgg,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0010.jpg,2,VPrk73e_7IXFKNnbj8ZikA,2009-05,50.10234117837727,14.39238294033512,8.32,310.0852661132812,91.87360382080078,0.1920804977416992,ok,
